Sample ID,Sample Type,Gln,Glu,Gluc,Lac,NH4+,Na+,K+,Viability (%),Live (cells/ml),Dead (cells/ml),Total (cells/ml),Estimated cell diameter (um),Cell diameter standard deviation (um),(%) of cells in aggregates with five or more cells,time,Gln_adj,Glu_adj,Gluc_adj,Lac_adj,NH4+_adj,Na+_adj,K+_adj,Live (cells/ml)_adj,Dead (cells/ml)_adj,Total (cells/ml)_adj
cs1-1 p0,Chemistry Only,4.3,1.4,28.4,0.6,0.73,106,5.7,88.1,3.91E+05,5.27E+04,4.44E+05,13.8,7,0,0,8.3,1.4,48.4,0.6,0.73,106,5.7,3.91E+05,5.27E+04,4.44E+05
cs1-2 p0,Chemistry Only,4.4,1.3,28.3,0.5,0.71,105,5.7,88.7,3.95E+05,5.03E+04,4.45E+05,13.8,7.3,0,0,8.4,1.3,48.3,0.5,0.71,105,5.7,3.95E+05,5.03E+04,4.45E+05
cs1-3 p0,Chemistry Only,4.4,1.2,28.3,0.6,0.71,108,5.7,88.9,4.50E+05,5.65E+04,5.07E+05,14.2,7.2,1,0,8.4,1.2,48.3,0.6,0.71,108,5.7,4.50E+05,5.65E+04,5.07E+05
cs1-4 p0,Chemistry Only,4.3,1.3,28.6,0.7,0.69,107,5.7,88.7,5.20E+05,6.64E+04,5.86E+05,14,6.9,1,0,8.3,1.3,48.6,0.7,0.69,107,5.7,5.20E+05,6.64E+04,5.86E+05
cs1-5 p0,Chemistry Only,4.4,1.3,28.6,0.4,0.7,107,5.7,87.6,4.64E+05,6.59E+04,5.30E+05,14,7,1,0,8.4,1.3,48.6,0.4,0.7,107,5.7,4.64E+05,6.59E+04,5.30E+05
cs1-6 p0,Chemistry Only,4.4,1.2,28.6,0.5,0.71,108,5.8,86,4.23E+05,6.88E+04,4.92E+05,14.2,6.9,0,0,8.4,1.2,48.6,0.5,0.71,108,5.8,4.23E+05,6.88E+04,4.92E+05
cs1-7 p0,Chemistry Only,4.3,1.2,28.8,0.5,0.7,109,5.8,87.1,4.07E+05,6.03E+04,4.67E+05,14.2,6.8,0,0,8.3,1.2,48.8,0.5,0.7,109,5.8,4.07E+05,6.03E+04,4.67E+05
cs1-8 p0,Chemistry Only,4.5,1.2,28.8,0.5,0.7,107,5.8,87.4,3.91E+05,5.65E+04,4.47E+05,14.1,6.9,0,0,8.5,1.2,48.8,0.5,0.7,107,5.8,3.91E+05,5.65E+04,4.47E+05
cs1-1 p1,Chemistry Only,2.8,1.6,25.2,4.49,2.29,103,5.5,93.5,1.18E+06,8.16E+04,1.26E+06,13.4,6.3,0,24,6.8,1.6,45.2,4.49,2.29,103,5.5,1.18E+06,8.16E+04,1.26E+06
cs1-2 p1,Chemistry Only,2.7,1.7,24.9,4.84,2.43,108,5.6,94,1.36E+06,8.68E+04,1.45E+06,13.3,6.5,1,24,6.7,1.7,44.9,4.84,2.43,108,5.6,1.36E+06,8.68E+04,1.45E+06
cs1-3 p1,Chemistry Only,2.8,1.6,25.4,4.33,2.34,109,5.7,94.4,1.33E+06,7.88E+04,1.40E+06,13.3,6.4,0,24,6.8,1.6,45.4,4.33,2.34,109,5.7,1.33E+06,7.88E+04,1.40E+06
cs1-4 p1,Chemistry Only,2.8,1.5,25.6,4.18,2.26,108,5.6,94.7,1.42E+06,8.02E+04,1.50E+06,13.5,6.6,1,24,6.8,1.5,45.6,4.18,2.26,108,5.6,1.42E+06,8.02E+04,1.50E+06
cs1-5 p1,Chemistry Only,3.1,1.5,27.1,0.48,2.12,108,5.6,94.6,1.48E+06,8.45E+04,1.57E+06,13.4,6.3,0,24,7.1,1.5,47.1,0.48,2.12,108,5.6,1.48E+06,8.45E+04,1.57E+06
cs1-6 p1,Chemistry Only,3,1.6,27,0.51,2.26,109,5.7,91.1,1.35E+06,1.32E+05,1.48E+06,13.5,6.6,1,24,7,1.6,47,0.51,2.26,109,5.7,1.35E+06,1.32E+05,1.48E+06
cs1-7 p1,Chemistry Only,3.1,1.5,27.4,0.51,2.05,109,5.7,93.6,1.32E+06,9.06E+04,1.41E+06,13.6,6.5,0,24,7.1,1.5,47.4,0.51,2.05,109,5.7,1.32E+06,9.06E+04,1.41E+06
cs1-8 p1,Chemistry Only,3.2,1.5,27.2,0.52,2.07,108,5.6,93.4,1.33E+06,9.44E+04,1.42E+06,13.8,7.1,0,24,7.2,1.5,47.2,0.52,2.07,108,5.6,1.33E+06,9.44E+04,1.42E+06
cs1-1 p2,Chemistry Only,0.9,1.8,20.2,8.98,4.1,110,5.3,95.8,3.14E+06,1.39E+05,3.27E+06,13.3,6.3,0,43.5,4.9,1.8,40.2,8.98,4.1,110,5.3,3.14E+06,1.39E+05,3.27E+06
cs1-2 p2,Chemistry Only,0.9,1.9,18.8,10.7,4.12,107,5.3,95.2,2.95E+06,1.49E+05,3.10E+06,13.4,6.5,0,43.5,4.9,1.9,38.8,10.7,4.12,107,5.3,2.95E+06,1.49E+05,3.10E+06
cs1-3 p2,Chemistry Only,0.9,1.8,20.3,8.73,4.15,110,5.3,95.7,3.13E+06,1.42E+05,3.27E+06,13.2,6.2,0,43.5,4.9,1.8,40.3,8.73,4.15,110,5.3,3.13E+06,1.42E+05,3.27E+06
cs1-4 p2,Chemistry Only,1,1.7,21,8.03,4.06,108,5.3,95.1,3.11E+06,1.61E+05,3.27E+06,13.3,6.3,1,43.5,5,1.7,41,8.03,4.06,108,5.3,3.11E+06,1.61E+05,3.27E+06
cs1-5 p2,Chemistry Only,1.2,1.7,23.6,0.56,3.74,109,5.3,96.4,3.47E+06,1.30E+05,3.60E+06,13.4,6.7,1,43.5,5.2,1.7,43.6,0.56,3.74,109,5.3,3.47E+06,1.30E+05,3.60E+06
cs1-6 p2,Chemistry Only,1.2,1.8,23.4,0.61,3.77,108,5.3,94.4,3.17E+06,1.89E+05,3.36E+06,13.6,6.5,1,43.5,5.2,1.8,43.4,0.61,3.77,108,5.3,3.17E+06,1.89E+05,3.36E+06
cs1-7 p2,Chemistry Only,1.3,1.7,24.2,0.61,3.61,110,5.3,96.5,3.21E+06,1.16E+05,3.33E+06,13.5,6.3,0,43.5,5.3,1.7,44.2,0.61,3.61,110,5.3,3.21E+06,1.16E+05,3.33E+06
cs1-8 p2,Chemistry Only,1.4,1.7,24.1,0.55,3.7,111,5.4,96.2,3.00E+06,1.18E+05,3.12E+06,13.8,6.3,1,43.5,5.4,1.7,44.1,0.55,3.7,111,5.4,3.00E+06,1.18E+05,3.12E+06
cs1-1 p3,Chemistry Only,4.3,1.3,36.1,8.32,3.9,101,4.9,95.7,2.79E+06,1.27E+05,2.91E+06,13.2,6.4,0,44,4.658333333,1.408333333,39.10833333,9.013333333,4.225,109.4166667,5.308333333,3.02E+06,1.38E+05,3.15E+06
cs1-2 p3,Chemistry Only,4.2,1.8,35.1,10,3.97,102,4.9,95,2.87E+06,1.51E+05,3.02E+06,13.3,6.8,1,44,4.55,1.95,38.025,10.83333333,4.300833333,110.5,5.308333333,3.11E+06,1.64E+05,3.27E+06
cs1-3 p3,Chemistry Only,4.2,1.7,36.3,8.23,3.95,99.8,4.9,96.4,3.13E+06,1.19E+05,3.25E+06,13.3,6.2,1,44,4.55,1.841666667,39.325,8.915833333,4.279166667,108.1166667,5.308333333,3.39E+06,1.29E+05,3.52E+06
cs1-4 p3,Chemistry Only,4.3,1.7,37.1,7.5,3.88,103,4.9,96,3.00E+06,1.25E+05,3.12E+06,13.5,6.4,1,44,4.658333333,1.841666667,40.19166667,8.125,4.203333333,111.5833333,5.308333333,3.25E+06,1.35E+05,3.38E+06
cs1-5 p3,Chemistry Only,4.6,1.6,39.5,0.27,3.55,101,4.8,94.9,3.34E+06,1.81E+05,3.52E+06,13.4,6.5,2,44,4.983333333,1.733333333,42.79166667,0.2925,3.845833333,109.4166667,5.2,3.62E+06,1.96E+05,3.81E+06
cs1-6 p3,Chemistry Only,4.5,1.7,39.3,0.28,3.58,101,4.9,94.7,3.41E+06,1.90E+05,3.60E+06,13.7,6.4,2,44,4.875,1.841666667,42.575,0.303333333,3.878333333,109.4166667,5.308333333,3.69E+06,2.06E+05,3.90E+06
cs1-7 p3,Chemistry Only,4.7,1.6,40.2,0.26,3.44,102,4.9,96.8,3.12E+06,1.04E+05,3.23E+06,13.6,6.8,2,44,5.091666667,1.733333333,43.55,0.281666667,3.726666667,110.5,5.308333333,3.38E+06,1.13E+05,3.50E+06
cs1-8 p3,Chemistry Only,4.8,1.6,40.2,0.32,3.48,101,4.9,96.3,3.03E+06,1.15E+05,3.14E+06,13.8,6.7,1,44,5.2,1.733333333,43.55,0.346666667,3.77,109.4166667,5.308333333,3.28E+06,1.25E+05,3.40E+06
cs1-1 p4,Chemistry Only,4,1.9,35.8,8.92,4.13,104,4.9,96,2.91E+06,1.21E+05,3.03E+06,13.3,6.2,1,46,4.333333333,2.058333333,38.78333333,9.663333333,4.474166667,112.6666667,5.308333333,3.15E+06,1.31E+05,3.28E+06
cs1-2 p4,Chemistry Only,4,1.8,34.5,10.5,4.03,96.8,4.8,95.3,2.87E+06,1.42E+05,3.01E+06,13.7,6.5,1,46,4.333333333,1.95,37.375,11.375,4.365833333,104.8666667,5.2,3.11E+06,1.54E+05,3.26E+06
cs1-3 p4,Chemistry Only,4,1.7,35.7,8.63,4.14,102,4.9,96.1,3.09E+06,1.27E+05,3.22E+06,13.4,6.3,1,46,4.333333333,1.841666667,38.675,9.349166667,4.485,110.5,5.308333333,3.35E+06,1.38E+05,3.49E+06
cs1-4 p4,Chemistry Only,4.2,1.7,36.5,7.97,4.02,101,4.9,95.7,3.09E+06,1.39E+05,3.23E+06,13.6,6.3,1,46,4.55,1.841666667,39.54166667,8.634166667,4.355,109.4166667,5.308333333,3.35E+06,1.51E+05,3.50E+06
cs1-5 p4,Chemistry Only,4.3,1.7,39.1,0.34,3.68,100,4.8,95.9,3.04E+06,1.29E+05,3.17E+06,13.4,6,1,46,4.658333333,1.841666667,42.35833333,0.368333333,3.986666667,108.3333333,5.2,3.29E+06,1.40E+05,3.43E+06
cs1-6 p4,Chemistry Only,4.5,1.7,39.1,0.03,3.74,100,4.9,93.6,3.04E+06,2.09E+05,3.24E+06,13.8,6.8,2,46,4.875,1.841666667,42.35833333,0.0325,4.051666667,108.3333333,5.308333333,3.29E+06,2.26E+05,3.51E+06
cs1-7 p4,Chemistry Only,4.5,1.6,39.9,0.13,3.61,101,5,96.4,3.16E+06,1.19E+05,3.28E+06,13.8,6.3,1,46,4.875,1.733333333,43.225,0.140833333,3.910833333,109.4166667,5.416666667,3.42E+06,1.29E+05,3.55E+06
cs1-8 p4,Chemistry Only,4.6,1.6,39.9,0.13,3.66,100,4.9,95.2,3.08E+06,1.54E+05,3.23E+06,14,6.5,1,46,4.983333333,1.733333333,43.225,0.140833333,3.965,108.3333333,5.308333333,3.34E+06,1.67E+05,3.50E+06
cs1-1 p5,Chemistry Only,3.7,1.9,34.8,9.76,4.39,98.4,4.9,96,3.25E+06,1.37E+05,3.39E+06,13.4,6.2,1,48,4.008333333,2.058333333,37.7,10.57333333,4.755833333,106.6,5.308333333,3.52E+06,1.48E+05,3.67E+06
cs1-2 p5,Chemistry Only,3.8,1.9,33.7,11.2,4.29,96.4,4.8,95.4,2.99E+06,1.45E+05,3.13E+06,13.4,6.4,1,48,4.116666667,2.058333333,36.50833333,12.13333333,4.6475,104.4333333,5.2,3.24E+06,1.57E+05,3.39E+06
cs1-3 p5,Chemistry Only,3.8,1.8,34.9,9.47,4.41,99.9,4.9,95.5,3.30E+06,1.55E+05,3.46E+06,13.4,6.3,2,48,4.116666667,1.95,37.80833333,10.25916667,4.7775,108.225,5.308333333,3.58E+06,1.68E+05,3.75E+06
cs1-4 p5,Chemistry Only,3.9,1.7,35.7,8.67,4.28,98.8,4.9,96.4,3.40E+06,1.29E+05,3.53E+06,13.3,6.2,1,48,4.225,1.841666667,38.675,9.3925,4.636666667,107.0333333,5.308333333,3.68E+06,1.40E+05,3.82E+06
cs1-5 p5,Chemistry Only,4,1.7,38.5,0.14,4,101,4.9,96.2,3.77E+06,1.49E+05,3.92E+06,13.4,6,2,48,4.333333333,1.841666667,41.70833333,0.151666667,4.333333333,109.4166667,5.308333333,4.08E+06,1.61E+05,4.25E+06
cs1-6 p5,Chemistry Only,4.1,1.8,38.6,0.11,3.95,100,4.9,95.3,3.37E+06,1.67E+05,3.53E+06,13.8,6.6,2,48,4.441666667,1.95,41.81666667,0.119166667,4.279166667,108.3333333,5.308333333,3.65E+06,1.81E+05,3.82E+06
cs1-7 p5,Chemistry Only,4.2,1.7,39.2,0.17,3.86,100,4.9,96.6,3.25E+06,1.16E+05,3.37E+06,13.7,6.3,2,48,4.55,1.841666667,42.46666667,0.184166667,4.181666667,108.3333333,5.308333333,3.52E+06,1.26E+05,3.65E+06
cs1-8 p5,Chemistry Only,4.3,1.7,39.2,0.13,3.88,99.5,4.9,96.2,3.28E+06,1.30E+05,3.41E+06,13.8,6.6,2,48,4.658333333,1.841666667,42.46666667,0.140833333,4.203333333,107.7916667,5.308333333,3.55E+06,1.41E+05,3.69E+06
cs1-1 p6,Chemistry Only,3,1.9,32.8,11.6,4.86,103,4.7,96.3,4.17E+06,1.62E+05,4.34E+06,13.4,6.4,1,52,3.25,2.058333333,35.53333333,12.56666667,5.265,111.5833333,5.091666667,4.52E+06,1.76E+05,4.70E+06
cs1-2 p6,Chemistry Only,3.2,1.9,31.9,12.1,4.78,104,4.7,95.4,3.63E+06,1.76E+05,3.80E+06,13.5,6.5,1,52,3.466666667,2.058333333,34.55833333,13.10833333,5.178333333,112.6666667,5.091666667,3.93E+06,1.91E+05,4.12E+06
cs1-3 p6,Chemistry Only,3,1.8,32.7,11.4,4.94,103,4.7,96,4.01E+06,1.69E+05,4.18E+06,13.5,6.5,1,52,3.25,1.95,35.425,12.35,5.351666667,111.5833333,5.091666667,4.34E+06,1.83E+05,4.53E+06
cs1-4 p6,Chemistry Only,3.2,1.8,33.8,10.5,4.81,103,4.7,96.1,3.80E+06,1.55E+05,3.96E+06,13.4,6.4,1,52,3.466666667,1.95,36.61666667,11.375,5.210833333,111.5833333,5.091666667,4.12E+06,1.68E+05,4.29E+06
cs1-5 p6,Chemistry Only,3.3,1.7,37.3,0.46,4.45,103,4.6,95.9,4.20E+06,1.79E+05,4.38E+06,13.5,6.5,1,52,3.575,1.841666667,40.40833333,0.498333333,4.820833333,111.5833333,4.983333333,4.55E+06,1.94E+05,4.75E+06
cs1-6 p6,Chemistry Only,3.5,1.8,37.4,0.51,4.36,104,4.7,95.5,3.74E+06,1.78E+05,3.92E+06,14,6.6,1,52,3.791666667,1.95,40.51666667,0.5525,4.723333333,112.6666667,5.091666667,4.05E+06,1.93E+05,4.25E+06
cs1-7 p6,Chemistry Only,3.5,1.7,37.8,0.48,4.3,103,4.6,96.1,4.33E+06,1.76E+05,4.50E+06,13.8,6,2,52,3.791666667,1.841666667,40.95,0.52,4.658333333,111.5833333,4.983333333,4.69E+06,1.91E+05,4.88E+06
cs1-8 p6,Chemistry Only,3.6,1.7,38.1,0.51,4.4,104,4.7,96.7,3.74E+06,1.28E+05,3.87E+06,13.7,5.9,2,52,3.9,1.841666667,41.275,0.5525,4.766666667,112.6666667,5.091666667,4.05E+06,1.39E+05,4.19E+06
